"Platform","Year_of_Release","Critic_Score","Critic_Count","User_Score","User_Count","ConsoleCompany","TargetAudience","Category","Sales"
"PS3","2008",75,32,7.8,15,"Sony","Children","Sports",1.47441956154897
"PS2","2006",82,43,7.2,99,"Sony","Teen & Up","Action",2
"PSP","2007",78,40,7.8,107,"Sony","Teen & Up","Action",2.1320071635561
"PS2","2003",81,26,8.4,57,"Sony","Teen & Up","Action",2
"X","2005",79,55,7.8,29,"Xbox","Teen & Up","Action",1.62221421130763
"PSP","2006",74,22,8.1,22,"Sony","Teen & Up","Action",1.47441956154897
"PS2","2005",68,44,8.2,56,"Sony","Teen & Up","Action",2
"PS2","2005",80,41,7.9,26,"Sony","Children","Sports",2
"PC","2006",78,29,8.6,35,"PC","Teen & Up","Big-Brain",1.47441956154897
"DS","2008",77,14,7.9,30,"Nintendo","Children","Big-Brain",1.76776695296637
"PS3","2008",58,18,7.9,22,"Sony","Teen & Up","Action",2.35702260395516
"GBA","2002",90,20,8,6,"Nintendo","Children","Sports",1.64398987305357
"GBA","2004",69,11,8.2,13,"Nintendo","Children","Action",1.64398987305357
"DS","2009",70,10,7.5,4,"Nintendo","Children","Big-Brain",1.96116135138184
"PS","2001",81,6,8.8,9,"Sony","Children","Sports",1.85695338177052
"PSP","2010",71,56,6.1,113,"Sony","Teen & Up","Big-Brain",2.77350098112615
"PS2","2002",74,22,8.2,19,"Sony","Teen & Up","Action",2.77350098112615
"XOne","2014",78,24,7.9,318,"Xbox","Teen & Up","Action",2.08514414057075
"X360","2012",59,35,5.5,22,"Xbox","Children","Action",1.76776695296637
"PS3","2008",76,23,7.3,18,"Sony","Children","Action",2.18217890235992
"DS","2008",70,26,7.7,14,"Nintendo","Children","Big-Brain",1.66666666666667
"PS2","2001",47,14,6.3,7,"Sony","Children","Misc",2
"PS2","2002",53,17,8.4,8,"Sony","Children","Sports",2
"PS3","2007",53,55,6.4,230,"Sony","Teen & Up","Action",1.66666666666667
"X360","2013",70,16,7.6,67,"Xbox","Teen & Up","Action",1.82574185835055
"PC","2012",91,29,8.4,3441,"PC","Teen & Up","Action",1.96116135138184
"GC","2003",94,19,7.7,17,"Nintendo","Children","Sports",1.58113883008419
"PSV","2013",77,71,8.2,298,"Sony","Teen & Up","Big-Brain",2.58198889747161
"PS2","2000",74,16,7.8,12,"Sony","Teen & Up","Big-Brain",2
"PS3","2011",67,46,7.4,139,"Sony","Teen & Up","Big-Brain",1.69030850945703
"PSP","2006",64,9,7.5,4,"Sony","Children","Sports",1.45864991497895
"X360","2009",80,43,8.4,18,"Xbox","Teen & Up","Big-Brain",2.08514414057075
"PS3","2013",34,14,3.6,196,"Sony","Teen & Up","Action",1.88982236504614
"X360","2010",76,26,7.6,38,"Xbox","Children","Sports",1.45864991497895
"Wii","2010",69,18,7.4,13,"Nintendo","Children","Action",2
"Wii","2009",82,13,8.4,17,"Nintendo","Children","Sports",2.88675134594813
"X","2003",85,19,8.2,11,"Xbox","Children","Sports",1.50755672288882
"DS","2008",56,10,7,4,"Nintendo","Children","Action",1.69030850945703
"GBA","2002",62,4,8.8,8,"Nintendo","Children","Action",1.64398987305357
"Wii","2009",74,23,8.1,21,"Nintendo","Teen & Up","Action",1.50755672288882
"PS2","2006",75,45,8.4,55,"Sony","Teen & Up","Big-Brain",2.58198889747161
"PSP","2004",62,26,7.3,24,"Sony","Teen & Up","Action",2.35702260395516
"PSP","2009",80,52,6.2,45,"Sony","Teen & Up","Action",2.88675134594813
"PS2","2006",76,11,4.6,51,"Sony","Children","Sports",1.54303349962092
"X360","2009",56,29,7.5,33,"Xbox","Teen & Up","Action",1.66666666666667
"PS2","2007",71,4,4.8,4,"Sony","Children","Sports",2
"GBA","2004",73,26,7,21,"Nintendo","Teen & Up","Action",1.66666666666667
"3DS","2015",81,70,7.4,108,"Nintendo","Teen & Up","Big-Brain",2.29415733870562
"X","2004",82,35,8.1,8,"Xbox","Children","Sports",1.64398987305357
"PS2","2004",76,54,7.8,191,"Sony","Teen & Up","Action",2
"PS2","2005",78,30,8.4,5,"Sony","Teen & Up","Misc",2.1320071635561
